Greenhouse Id, Greenhouse Name, Sensor Name, Device Id, Sensor Id, Sensor Type, Value, Timestamp (UTC), Japan Timestamp (JST)
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.341446,2018-01-12 20:30:52,2018-01-13 05:30:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.230972,2018-01-12 20:40:52,2018-01-13 05:40:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.253801,2018-01-12 20:50:53,2018-01-13 05:50:53
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.304996,2018-01-12 21:00:52,2018-01-13 06:00:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.344063,2018-01-12 21:10:52,2018-01-13 06:10:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.412996,2018-01-12 21:20:52,2018-01-13 06:20:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.478569,2018-01-12 21:30:52,2018-01-13 06:30:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.523476,2018-01-12 21:40:52,2018-01-13 06:40:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.544346,2018-01-12 21:50:52,2018-01-13 06:50:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.528603,2018-01-12 22:00:52,2018-01-13 07:00:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.306494,2018-01-12 22:10:52,2018-01-13 07:10:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.184723,2018-01-12 22:20:52,2018-01-13 07:20:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.158846,2018-01-12 22:30:52,2018-01-13 07:30:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.196335,2018-01-12 22:40:52,2018-01-13 07:40:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.310814,2018-01-12 22:50:52,2018-01-13 07:50:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.20713,2018-01-12 23:00:52,2018-01-13 08:00:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,18.020344,2018-01-12 23:10:52,2018-01-13 08:10:52
8a7e80865ecb9a3b015f6ba914680079,Sample,センサー１,TH1020039,630645,HD,17.966967,2018-01-12 23:20:52,2018-01-13 08:20:52
